Timestamp,Battery_Voltage,Motor_Voltage,Current
2025-01-29T20:09:19.516381,0.12,0.0,0.0,00 00
2025-01-29T20:09:19.617108,0.12,0.0,0.0,00 00
2025-01-29T20:09:19.717802,0.12,0.0,0.0,00 00
2025-01-29T20:09:19.818467,0.12,0.0,0.0,00 00
2025-01-29T20:09:19.919133,0.12,0.0,0.0,00 00
2025-01-29T20:09:20.019799,0.12,0.0,0.0,00 00
2025-01-29T20:09:20.120460,0.12,0.0,0.0,00 00
2025-01-29T20:09:20.221126,0.12,0.0,0.0,00 00
2025-01-29T20:09:20.321816,0.12,0.0,0.0,00 00
2025-01-29T20:09:20.422504,0.12,0.0,0.0,00 00
2025-01-29T20:09:20.523209,0.12,0.0,0.0,00 00
2025-01-29T20:09:20.623859,0.12,0.0,0.0,00 00
2025-01-29T20:09:20.724536,0.0,0.0,0.0,00 00
2025-01-29T20:09:20.825198,0.0,0.0,0.0,00 00
2025-01-29T20:09:20.925878,0.0,0.0,0.0,00 00
2025-01-29T20:09:21.026536,0.0,0.0,0.0,00 00
2025-01-29T20:09:21.127208,0.0,0.0,0.0,00 00
2025-01-29T20:09:21.227897,0.0,0.0,0.0,00 00
2025-01-29T20:09:21.328564,0.0,0.0,0.0,00 00
2025-01-29T20:09:21.429221,0.0,0.0,0.0,00 00
2025-01-29T20:09:21.529905,0.0,0.0,0.0,00 00
2025-01-29T20:09:21.630584,0.0,0.0,0.0,00 00
2025-01-29T20:09:21.731302,0.0,0.0,0.0,00 00
2025-01-29T20:09:21.831955,0.0,0.0,0.0,00 00
2025-01-29T20:09:21.932655,0.0,0.0,0.0,00 00
2025-01-29T20:09:22.033370,0.0,0.0,0.0,00 00
2025-01-29T20:09:22.134087,0.0,0.0,0.0,00 00
2025-01-29T20:09:22.234804,0.0,0.0,0.0,00 00
2025-01-29T20:09:22.335603,0.0,0.0,0.0,00 00
2025-01-29T20:09:22.436325,0.0,0.0,0.0,00 00
2025-01-29T20:09:22.537053,0.0,0.0,0.0,00 00
2025-01-29T20:09:22.637753,0.0,0.0,0.0,00 00
2025-01-29T20:09:22.738471,0.0,0.0,0.0,00 00
2025-01-29T20:09:22.839204,0.0,0.0,0.0,00 00
2025-01-29T20:09:22.939928,0.0,0.0,0.0,00 00
2025-01-29T20:09:23.040612,0.0,0.0,0.0,00 00
2025-01-29T20:09:23.141310,0.0,0.0,0.0,00 00
